194.2,329.4,23.3
199.5,177.9,15.4
298.3,333.3,0.0
228.5,282.0,0.0
134.9,173.9,117.7
183.7,272.7,55.6
157.3,195.0,98.1
160.2,184.0,51.1
160.4,180.0,47.0
161.1,181.0,53.1
156.9,178.0,51.4
163.4,173.7,54.3
161.0,184.5,49.6
315.0,288.5,11.7
165.0,185.5,51.6
164.2,179.0,52.2
158.1,181.0,53.5
163.3,174.6,53.9
162.0,184.0,51.9
150.9,176.0,61.3
155.2,183.0,49.4
158.0,183.0,51.0
158.9,181.0,44.7
162.9,177.0,49.2
163.9,184.0,56.0
158.3,180.8,50.3
158.2,184.4,44.8
157.4,182.3,51.6
170.8,178.3,0.0
170.8,178.3,0.0
159.4,185.7,48.6
160.8,185.0,56.6
172.9,175.8,49.1
158.8,180.0,45.2
158.7,181.0,50.7
169.2,181.0,56.1
